quintil,desertores_pct,egresados_pct,tasa_desercion,tasa_egreso,corte,fuente,pagina_figura
Quintiles 1 y 2,0.5834,0.5174,0.2468,0.7532,2025-06,"Comisión Ingresa, Perfil de Egresados y Desertores 2025","pp. 3-4; Figuras 1-3"
Quintil 3,0.1751,0.1844,0.2163,0.7837,2025-06,"Comisión Ingresa, Perfil de Egresados y Desertores 2025","pp. 3-4; Figuras 1-3"
Quintil 4,0.1535,0.1798,0.1988,0.8012,2025-06,"Comisión Ingresa, Perfil de Egresados y Desertores 2025","pp. 3-4; Figuras 1-3"
Quintil 5,0.088,0.1184,0.1777,0.8223,2025-06,"Comisión Ingresa, Perfil de Egresados y Desertores 2025","pp. 3-4; Figuras 1-3"
